pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm
PD0504,햄통조림,병통조림,축산물통조림
PD0505,닭고기통조림,병통조림,축산물통조림
PD0506,기타축산통조림,병통조림,축산물통조림
PD0507,백화점/마트모바일상품권,상품권,모바일상품권
PD0508,영화/문화모바일상품권,상품권,모바일상품권
PD0509,레저모바일상품권,상품권,모바일상품권
PD0510,생활모바일상품권,상품권,모바일상품권
PD0511,식음료모바일상품권,상품권,모바일상품권
PD0512,온라인/모바일컨텐츠,상품권,모바일상품권
PD0513,교통카드판매,상품권,생활요금상품판매/충전
PD0514,영화/문화/도서상품권,상품권,지류상품권
PD0515,외식/음료/디저트상품권,상품권,지류상품권
PD0516,제화/패션/주유상품권,상품권,지류상품권
PD0517,악기/교육렌탈,생활/렌탈서비스,렌탈서비스
PD0518,안마의자/헬스/이미용렌탈,생활/렌탈서비스,렌탈서비스
PD0519,그림/인테리어렌탈,생활/렌탈서비스,렌탈서비스
PD0520,자동차/레저렌탈,생활/렌탈서비스,렌탈서비스
PD0521,택배,생활/렌탈서비스,생활서비스
PD0522,복권판매,생활/렌탈서비스,생활서비스
PD0523,배달서비스,생활/렌탈서비스,생활서비스
PD0524,이사/청소/수선/세탁서비스,생활/렌탈서비스,생활서비스
PD0525,문화/스포츠센터,생활/렌탈서비스,생활서비스
PD0526,도서/교육,생활/렌탈서비스,생활서비스
PD0527,핸드폰충전,생활/렌탈서비스,생활서비스
PD0528,사진인화서비스,생활/렌탈서비스,생활서비스
PD0529,기타생활서비스,생활/렌탈서비스,생활서비스
PD0530,제습기,생활/주방가전,공기청정/가습/제습
PD0531,가습기,생활/주방가전,공기청정/가습/제습
PD0532,공기청정기,생활/주방가전,공기청정/가습/제습
PD0533,에어워셔,생활/주방가전,공기청정/가습/제습
PD0534,다리미,생활/주방가전,생활가전
PD0535,의류스타일러,생활/주방가전,생활가전
PD0536,보풀제거기,생활/주방가전,생활가전
PD0537,비데,생활/주방가전,생활가전
PD0538,연수기,생활/주방가전,생활가전
PD0539,헤어드라이어,생활/주방가전,이미용가전
PD0540,고데기,생활/주방가전,이미용가전
PD0541,헤어세팅기,생활/주방가전,이미용가전
PD0542,헤어롤,생활/주방가전,이미용가전
PD0543,이발기,생활/주방가전,이미용가전
PD0544,전기면도기,생활/주방가전,이미용가전
PD0545,제모기,생활/주방가전,이미용가전
PD0546,기타이미용가전,생활/주방가전,이미용가전
PD0547,전화기,생활/주방가전,전화기
PD0548,전기밥솥,생활/주방가전,주방가전
PD0549,전기찜기,생활/주방가전,주방가전
PD0550,전기튀김기,생활/주방가전,주방가전
PD0551,오븐/전자레인지,생활/주방가전,주방가전
PD0552,전기프라이팬,생활/주방가전,주방가전
PD0553,전기그릴,생활/주방가전,주방가전
PD0554,인덕션/가스레인지,생활/주방가전,주방가전
PD0555,전기냄비/뚝배기,생활/주방가전,주방가전
PD0556,커피메이커/포트,생활/주방가전,주방가전
PD0557,커피머신,생활/주방가전,주방가전
PD0558,블랜더,생활/주방가전,주방가전
PD0559,토스터/제빵기,생활/주방가전,주방가전
PD0560,요구르트/청국장제조기,생활/주방가전,주방가전
PD0561,기타주방가전,생활/주방가전,주방가전
PD0562,정수기,생활/주방가전,주방가전
PD0563,식기세척기,생활/주방가전,주방가전
PD0564,식기건조기,생활/주방가전,주방가전
PD0565,음식물건조기,생활/주방가전,주방가전
PD0566,일반청소기,생활/주방가전,청소기
PD0567,로봇청소기,생활/주방가전,청소기
PD0568,핸디형청소기,생활/주방가전,청소기
PD0569,스팀청소기,생활/주방가전,청소기
PD0570,물걸레청소기,생활/주방가전,청소기
PD0571,침구청소기,생활/주방가전,청소기
PD0572,기타청소기,생활/주방가전,청소기
PD0573,유아서적,서적/음반/악기,서적
PD0574,아동서적,서적/음반/악기,서적
PD0575,일반서적,서적/음반/악기,서적
PD0576,참고서/수험서,서적/음반/악기,서적
PD0577,신문/잡지,서적/음반/악기,서적
PD0578,서적세트,서적/음반/악기,서적
PD0579,현악기,서적/음반/악기,악기
PD0580,관악기,서적/음반/악기,악기
PD0581,타악기,서적/음반/악기,악기
PD0582,건반악기,서적/음반/악기,악기
PD0583,국악악기,서적/음반/악기,악기
PD0584,전자악기,서적/음반/악기,악기
PD0585,악기부품/액세서리,서적/음반/악기,악기
PD0586,음반,서적/음반/악기,음반/영상물
PD0587,영상물,서적/음반/악기,음반/영상물
PD0588,방향제,세제/위생,방향/제습/탈취제
PD0589,탈취제,세제/위생,방향/제습/탈취제
PD0590,섬유용탈취제,세제/위생,방향/제습/탈취제
PD0591,제습제,세제/위생,방향/제습/탈취제
PD0592,파리/모기살충제,세제/위생,살충/방충제
PD0593,개미/바퀴살충제,세제/위생,살충/방충제
PD0594,방충제,세제/위생,살충/방충제
PD0595,분말세탁세제,세제/위생,세탁세제
PD0596,액상세탁세제,세제/위생,세탁세제
PD0597,세탁비누,세제/위생,세탁세제
PD0598,분말표백제,세제/위생,세탁세제
PD0599,액상표백제,세제/위생,세탁세제
PD0600,부분세탁제,세제/위생,세탁세제
PD0601,섬유유연제/향기지속제,세제/위생,세탁세제
PD0602,특수용세탁세제,세제/위생,세탁세제
PD0603,일반주방세제,세제/위생,주방세제
PD0604,다목적주방세제,세제/위생,주방세제
PD0605,주방용청소세제,세제/위생,청소세제
PD0606,락스,세제/위생,청소세제
PD0607,곰팡이제거제/차단제,세제/위생,청소세제
PD0608,욕실전용청소세제,세제/위생,청소세제
PD0609,세정제,세제/위생,청소세제
PD0610,광택제,세제/위생,청소세제
PD0611,롤티슈,세제/위생,화장지/티슈
PD0612,각티슈/미용티슈,세제/위생,화장지/티슈
PD0613,물티슈,세제/위생,화장지/티슈
PD0614,키친타올,세제/위생,화장지/티슈
PD0615,냅킨,세제/위생,화장지/티슈
PD0616,남성팬티,속옷/양말/홈웨어,남성속옷
PD0617,남성런닝셔츠,속옷/양말/홈웨어,남성속옷
PD0618,남성내의,속옷/양말/홈웨어,남성속옷
PD0619,남성속옷세트,속옷/양말/홈웨어,남성속옷
PD0620,남성일반양말,속옷/양말/홈웨어,남성양말류
PD0621,남성발가락양말,속옷/양말/홈웨어,남성양말류
PD0622,남성수면양말,속옷/양말/홈웨어,남성양말류
PD0623,남성덧신류,속옷/양말/홈웨어,남성양말류
PD0624,남성캐쥬얼스포츠양말,속옷/양말/홈웨어,남성양말류
PD0625,남성양말선물세트,속옷/양말/홈웨어,남성양말류
PD0626,기타남성양말류,속옷/양말/홈웨어,남성양말류
PD0627,남여속옷세트,속옷/양말/홈웨어,속옷/양말/홈웨어세트
PD0628,남여양말세트,속옷/양말/홈웨어,속옷/양말/홈웨어세트
PD0629,기타속옷/양말/홈웨어세트,속옷/양말/홈웨어,속옷/양말/홈웨어세트
PD0630,브래지어,속옷/양말/홈웨어,여성속옷
PD0631,거들,속옷/양말/홈웨어,여성속옷
PD0632,올인원,속옷/양말/홈웨어,여성속옷
PD0633,코르셋,속옷/양말/홈웨어,여성속옷
PD0634,슬립,속옷/양말/홈웨어,여성속옷
PD0635,여성팬티,속옷/양말/홈웨어,여성속옷
PD0636,여성런닝셔츠/캐미솔,속옷/양말/홈웨어,여성속옷
PD0637,여성내의,속옷/양말/홈웨어,여성속옷
PD0638,여성임부속옷,속옷/양말/홈웨어,여성속옷
PD0639,여성속옷세트,속옷/양말/홈웨어,여성속옷
PD0640,기타여성속옷,속옷/양말/홈웨어,여성속옷
PD0641,여성일반양말,속옷/양말/홈웨어,여성양말류
PD0642,니삭스/오버니삭스,속옷/양말/홈웨어,여성양말류
PD0643,여성덧신류,속옷/양말/홈웨어,여성양말류
PD0644,스타킹,속옷/양말/홈웨어,여성양말류
PD0645,여성타이즈,속옷/양말/홈웨어,여성양말류
PD0646,여성캐쥬얼스포츠양말,속옷/양말/홈웨어,여성양말류
PD0647,여성양말선물세트,속옷/양말/홈웨어,여성양말류
PD0648,기타여성양말류,속옷/양말/홈웨어,여성양말류
PD0649,유아동팬티,속옷/양말/홈웨어,유아동속옷
PD0650,유아동런닝셔츠,속옷/양말/홈웨어,유아동속옷
PD0651,유아동내의,속옷/양말/홈웨어,유아동속옷
PD0652,유아동속옷세트,속옷/양말/홈웨어,유아동속옷
PD0653,유아동일반양말,속옷/양말/홈웨어,유아동양말류
PD0654,아동니삭스/오버니삭스,속옷/양말/홈웨어,유아동양말류
PD0655,손싸개/발싸개,속옷/양말/홈웨어,유아동양말류
PD0656,유아동타이즈,속옷/양말/홈웨어,유아동양말류
PD0657,유아동캐쥬얼스포츠양말,속옷/양말/홈웨어,유아동양말류
PD0658,유아동양말선물세트,속옷/양말/홈웨어,유아동양말류
PD0659,기타유아동양말류,속옷/양말/홈웨어,유아동양말류
PD0660,여성잠옷,속옷/양말/홈웨어,홈웨어
PD0661,여성실내복,속옷/양말/홈웨어,홈웨어
PD0662,여성가운,속옷/양말/홈웨어,홈웨어
PD0663,남성잠옷,속옷/양말/홈웨어,홈웨어
PD0664,남성실내복,속옷/양말/홈웨어,홈웨어
PD0665,남성가운,속옷/양말/홈웨어,홈웨어
PD0666,여아잠옷,속옷/양말/홈웨어,홈웨어
PD0667,여아실내복,속옷/양말/홈웨어,홈웨어
PD0668,여아가운,속옷/양말/홈웨어,홈웨어
PD0669,남아잠옷,속옷/양말/홈웨어,홈웨어
PD0670,남아실내복,속옷/양말/홈웨어,홈웨어
PD0671,홈웨어세트,속옷/양말/홈웨어,홈웨어
PD0672,해물찌개/탕,수산물,간편조리
PD0673,조리양념생선,수산물,간편조리
PD0674,회덮밥,수산물,간편조리
PD0675,기타간편조리,수산물,간편조리
PD0676,꽃게,수산물,갑각류
PD0677,대게,수산물,갑각류
PD0678,홍게,수산물,갑각류
PD0679,랍스터,수산물,갑각류
PD0680,킹크랩,수산물,갑각류
PD0681,새우,수산물,갑각류
PD0682,기타게,수산물,갑각류
PD0683,포장고등어,수산물,냉동포장생선류
PD0684,포장연어,수산물,냉동포장생선류
PD0685,포장갈치,수산물,냉동포장생선류
PD0686,포장날치알,수산물,냉동포장생선류
PD0687,포장새우살,수산물,냉동포장생선류
PD0688,포장크랩류,수산물,냉동포장생선류
PD0689,포장해물류,수산물,냉동포장생선류
PD0690,명태전감,수산물,냉동포장생선류
PD0691,기타포장생선,수산물,냉동포장생선류
PD0692,광어회,수산물,생선회
PD0693,우럭회,수산물,생선회
PD0694,도미회,수산물,생선회
PD0695,문어회,수산물,생선회
PD0696,도다리회,수산물,생선회
PD0697,방어회,수산물,생선회
PD0698,숭어회,수산물,생선회
PD0699,전어회,수산물,생선회
PD0700,연어회,수산물,생선회
PD0701,참치회,수산물,생선회
PD0702,홍어회,수산물,생선회
PD0703,모듬회,수산물,생선회
PD0704,기타회,수산물,생선회
PD0705,생선선물세트,수산물,수산선물세트
PD0706,해물선물세트,수산물,수산선물세트
PD0707,혼합수산선물세트,수산물,수산선물세트
PD0708,가자미,수산물,어류
PD0709,갈치,수산물,어류
PD0710,고등어,수산물,어류
PD0711,꽁치,수산물,어류
PD0712,대구,수산물,어류
PD0713,도미,수산물,어류
PD0714,명태,수산물,어류
PD0715,민어,수산물,어류
PD0716,조기류,수산물,어류
PD0717,삼치,수산물,어류
PD0718,아귀,수산물,어류
PD0719,연어,수산물,어류
PD0720,우럭,수산물,어류
PD0721,은어,수산물,어류
PD0722,임연수,수산물,어류
PD0723,전어,수산물,어류
PD0724,장어,수산물,어류
PD0725,홍어,수산물,어류
PD0726,생선알,수산물,어류
PD0727,기타어류,수산물,어류
PD0728,낙지,수산물,연체류
PD0729,문어,수산물,연체류
PD0730,오징어,수산물,연체류
PD0731,갑오징어,수산물,연체류
PD0732,한치,수산물,연체류
PD0733,주꾸미,수산물,연체류
PD0734,해파리,수산물,연체류
PD0735,기타연체류,수산물,연체류
PD0736,미더덕류,수산물,연체류
PD0737,멍게,수산물,연체류
PD0738,해삼,수산물,연체류
PD0739,개조개,수산물,조개류
PD0740,골뱅이,수산물,조개류
PD0741,굴,수산물,조개류
PD0742,꼬막,수산물,조개류
PD0743,대합,수산물,조개류
PD0744,모시조개,수산물,조개류
PD0745,바지락,수산물,조개류
PD0746,생합,수산물,조개류
PD0747,소라,수산물,조개류
PD0748,전복,수산물,조개류
PD0749,키조개,수산물,조개류
PD0750,홍합,수산물,조개류
PD0751,우렁이,수산물,조개류
PD0752,기타조개류,수산물,조개류
PD0753,조개살류,수산물,조개류
PD0754,다시마,수산물,해초류
PD0755,매생이,수산물,해초류
PD0756,미역,수산물,해초류
PD0757,톳,수산물,해초류
PD0758,파래,수산물,해초류
PD0759,기타해초류,수산물,해초류
PD0760,남성골프티셔츠,스포츠패션,남성골프의류
PD0761,남성골프남방셔츠,스포츠패션,남성골프의류
PD0762,남성골프니트/가디건,스포츠패션,남성골프의류
PD0763,남성골프스웨트셔츠/후드/집업,스포츠패션,남성골프의류
PD0764,남성골프베스트,스포츠패션,남성골프의류
PD0765,남성골프바지,스포츠패션,남성골프의류
PD0766,남성골프점퍼/재킷,스포츠패션,남성골프의류
PD0767,남성골프패딩,스포츠패션,남성골프의류
PD0768,남성골프의류세트,스포츠패션,남성골프의류
PD0769,남성등산티셔츠,스포츠패션,남성등산/아웃도어의류
PD0770,남성등산스웨트셔츠/후드/집업,스포츠패션,남성등산/아웃도어의류
PD0771,남성등산베스트,스포츠패션,남성등산/아웃도어의류
PD0772,남성등산바지,스포츠패션,남성등산/아웃도어의류
PD0773,남성등산점퍼/재킷,스포츠패션,남성등산/아웃도어의류
PD0774,남성등산패딩,스포츠패션,남성등산/아웃도어의류
PD0775,남성등산전신,스포츠패션,남성등산/아웃도어의류
PD0776,남성등산/아웃도어세트,스포츠패션,남성등산/아웃도어의류
PD0777,남성런닝/트레이닝화,스포츠패션,남성스포츠화
PD0778,남성스포츠샌들/슬리퍼,스포츠패션,남성스포츠화
PD0779,남성스포츠화부속품,스포츠패션,남성스포츠화
PD0780,남성스포츠티셔츠,스포츠패션,남성일반스포츠의류
PD0781,남성스포츠스웨트셔츠/후드/집업,스포츠패션,남성일반스포츠의류
PD0782,남성스포츠베스트,스포츠패션,남성일반스포츠의류
PD0783,남성일반스포츠바지,스포츠패션,남성일반스포츠의류
PD0784,남성스포츠점퍼/재킷,스포츠패션,남성일반스포츠의류
PD0785,남성스포츠패딩,스포츠패션,남성일반스포츠의류
PD0786,남성스포츠전신,스포츠패션,남성일반스포츠의류
PD0787,남성트레이닝복,스포츠패션,남성일반스포츠의류
PD0788,남성스포츠속옷,스포츠패션,남성일반스포츠의류
PD0789,스포츠가방,스포츠패션,스포츠잡화
PD0790,스포츠선글라스,스포츠패션,스포츠잡화
PD0791,스포츠두건/머플러/마스크,스포츠패션,스포츠잡화
PD0792,스포츠넥워머/버프/팔토시,스포츠패션,스포츠잡화
PD0793,스포츠모자,스포츠패션,스포츠잡화
PD0794,스포츠양말,스포츠패션,스포츠잡화
PD0795,스포츠목걸이/팔찌,스포츠패션,스포츠잡화
PD0796,스포츠아대/헤어밴드,스포츠패션,스포츠잡화
PD0797,여성골프티셔츠/탑,스포츠패션,여성골프의류
PD0798,여성골프남방셔츠,스포츠패션,여성골프의류
PD0799,여성골프니트/가디건,스포츠패션,여성골프의류
PD0800,여성골프스웨트셔츠/후드/집업,스포츠패션,여성골프의류
PD0801,여성골프베스트,스포츠패션,여성골프의류
PD0802,여성골프바지,스포츠패션,여성골프의류
PD0803,여성골프스커트,스포츠패션,여성골프의류
PD0804,여성골프점퍼/재킷,스포츠패션,여성골프의류
PD0805,여성골프패딩,스포츠패션,여성골프의류
PD0806,여성골프전신/원피스,스포츠패션,여성골프의류
PD0807,여성골프의류세트,스포츠패션,여성골프의류
PD0808,여성등산티셔츠/탑,스포츠패션,여성등산/아웃도어의류
PD0809,여성등산스웨트셔츠/후드/집업,스포츠패션,여성등산/아웃도어의류
PD0810,여성등산베스트,스포츠패션,여성등산/아웃도어의류
PD0811,여성등산바지,스포츠패션,여성등산/아웃도어의류
PD0812,여성등산점퍼/재킷,스포츠패션,여성등산/아웃도어의류
PD0813,여성등산패딩,스포츠패션,여성등산/아웃도어의류
PD0814,여성등산전신/원피스,스포츠패션,여성등산/아웃도어의류
PD0815,여성등산/아웃도어세트,스포츠패션,여성등산/아웃도어의류
PD0816,여성런닝/트레이닝화,스포츠패션,여성스포츠화
PD0817,여성스포츠샌들/슬리퍼,스포츠패션,여성스포츠화
PD0818,여성스포츠화부속품,스포츠패션,여성스포츠화
PD0819,여성스포츠티셔츠/탑,스포츠패션,여성일반스포츠의류
PD0820,여성스포츠스웨트셔츠/후드/집업,스포츠패션,여성일반스포츠의류
PD0821,여성스포츠베스트,스포츠패션,여성일반스포츠의류
PD0822,여성일반스포츠바지,스포츠패션,여성일반스포츠의류
PD0823,여성스포츠스커트,스포츠패션,여성일반스포츠의류
PD0824,여성스포츠점퍼/재킷,스포츠패션,여성일반스포츠의류
PD0825,여성스포츠패딩,스포츠패션,여성일반스포츠의류
PD0826,여성스포츠전신/원피스,스포츠패션,여성일반스포츠의류
PD0827,여성트레이닝복,스포츠패션,여성일반스포츠의류
PD0828,여성스포츠속옷,스포츠패션,여성일반스포츠의류
PD0829,유아동런닝/트레이닝화,스포츠패션,유아동스포츠화
PD0830,유아동스포츠샌들/슬리퍼,스포츠패션,유아동스포츠화
PD0831,유아동스포츠화부속품,스포츠패션,유아동스포츠화
PD0832,유아동스포츠티셔츠/탑,스포츠패션,유아동일반스포츠의류
PD0833,유아동스포츠스웨트셔츠/후드/집업,스포츠패션,유아동일반스포츠의류
PD0834,유아동스포츠베스트,스포츠패션,유아동일반스포츠의류
PD0835,유아동일반스포츠바지,스포츠패션,유아동일반스포츠의류
PD0836,유아동스포츠스커트,스포츠패션,유아동일반스포츠의류
PD0837,유아동스포츠점퍼/재킷,스포츠패션,유아동일반스포츠의류
PD0838,유아동스포츠패딩,스포츠패션,유아동일반스포츠의류
PD0839,유아동스포츠전신/원피스,스포츠패션,유아동일반스포츠의류
PD0840,유아동트레이닝복,스포츠패션,유아동일반스포츠의류
PD0841,유아동스포츠속옷,스포츠패션,유아동일반스포츠의류
PD0842,기타시즌스포츠용품,시즌스포츠,기타시즌스포츠
PD0843,남성수영복,시즌스포츠,수영/물놀이
PD0844,여성수영복,시즌스포츠,수영/물놀이
PD0845,아동수영복,시즌스포츠,수영/물놀이
PD0846,남성비치웨어,시즌스포츠,수영/물놀이
PD0847,여성비치웨어,시즌스포츠,수영/물놀이
PD0848,아동비치웨어,시즌스포츠,수영/물놀이
PD0849,수영가방,시즌스포츠,수영/물놀이
PD0850,수영모자,시즌스포츠,수영/물놀이
PD0851,물안경,시즌스포츠,수영/물놀이
PD0852,아쿠아슈즈,시즌스포츠,수영/물놀이
PD0853,오리발/스노클링,시즌스포츠,수영/물놀이
PD0854,튜브/보트,시즌스포츠,수영/물놀이
PD0855,구명조끼/안전용품,시즌스포츠,수영/물놀이
PD0856,기타물놀이용품,시즌스포츠,수영/물놀이
PD0857,썰매류,시즌스포츠,스케이트/썰매
PD0858,보드장비,시즌스포츠,스키/보드
PD0859,스키복,시즌스포츠,스키/보드
PD0860,보드복,시즌스포츠,스키/보드
PD0861,스키/보드고글,시즌스포츠,스키/보드
PD0862,스키/보드장갑,시즌스포츠,스키/보드
PD0863,기타스키/보드용품,시즌스포츠,스키/보드
PD0864,밥공기,식기/조리기구,그릇/식기
PD0865,국그릇,식기/조리기구,그릇/식기
PD0866,대접/볼,식기/조리기구,그릇/식기
PD0867,접시,식기/조리기구,그릇/식기
PD0868,찬기/종지,식기/조리기구,그릇/식기
PD0869,반상기세트/홈세트,식기/조리기구,그릇/식기
PD0870,제기,식기/조리기구,그릇/식기
PD0871,음료용컵,식기/조리기구,그릇/식기
PD0872,주류잔,식기/조리기구,그릇/식기
PD0873,커피잔,식기/조리기구,그릇/식기
PD0874,다기류,식기/조리기구,그릇/식기
PD0875,숟가락/젓가락,식기/조리기구,그릇/식기
PD0876,포크/나이프,식기/조리기구,그릇/식기
PD0877,디저트포크/스푼,식기/조리기구,그릇/식기
PD0878,그릇/식기세트,식기/조리기구,그릇/식기
PD0879,물병,식기/조리기구,밀폐/보관용기
PD0880,과실주병,식기/조리기구,밀폐/보관용기
PD0881,보온병/텀블러,식기/조리기구,밀폐/보관용기
PD0882,도시락/찬합,식기/조리기구,밀폐/보관용기
PD0883,보온도시락,식기/조리기구,밀폐/보관용기
PD0884,양념통,식기/조리기구,밀폐/보관용기
PD0885,항아리/쌀독류,식기/조리기구,밀폐/보관용기
PD0886,반찬통/밀폐용기,식기/조리기구,밀폐/보관용기
PD0887,유아동식기/식판,식기/조리기구,유아동식기
PD0888,유아동숟가락/젓가락/포크,식기/조리기구,유아동식기
PD0889,유아동컵/물병,식기/조리기구,유아동식기
PD0890,유아동식기세트,식기/조리기구,유아동식기
PD0891,냄비,식기/조리기구,조리기구
PD0892,뚝배기,식기/조리기구,조리기구
PD0893,압력솥,식기/조리기구,조리기구
PD0894,솥,식기/조리기구,조리기구
PD0895,주전자,식기/조리기구,조리기구
PD0896,프라이팬,식기/조리기구,조리기구
PD0897,그릴/구이불판,식기/조리기구,조리기구
PD0898,오븐팬/피자팬,식기/조리기구,조리기구
PD0899,조리기구세트,식기/조리기구,조리기구
PD0900,기타아웃도어/레저용품,아웃도어/레저,기타아웃도어/레저
PD0901,낚시장비,아웃도어/레저,낚시
PD0902,낚시용품,아웃도어/레저,낚시
PD0903,등산화,아웃도어/레저,등산
PD0904,배낭,아웃도어/레저,등산
PD0905,힙색/사이드백,아웃도어/레저,등산
PD0906,기타배낭소품,아웃도어/레저,등산
PD0907,등산지팡이/스틱,아웃도어/레저,등산
PD0908,아이젠,아웃도어/레저,등산
PD0909,기타등산용품,아웃도어/레저,등산
PD0910,인라인/롤러스케이트,아웃도어/레저,인라인/스케이트보드/킥보드
PD0911,스케이트보드/킥보드,아웃도어/레저,인라인/스케이트보드/킥보드
PD0912,전동보드/전동킥보드,아웃도어/레저,인라인/스케이트보드/킥보드
PD0913,인라인/스케이트보드/킥보드안전용품,아웃도어/레저,인라인/스케이트보드/킥보드
PD0914,인라인/스케이트보드/킥보드기타액세서리,아웃도어/레저,인라인/스케이트보드/킥보드
PD0915,MTB,아웃도어/레저,자전거
PD0916,로드자전거,아웃도어/레저,자전거
PD0917,미니벨로,아웃도어/레저,자전거
PD0918,전동/하이브리드자전거,아웃도어/레저,자전거
PD0919,유아동용자전거,아웃도어/레저,자전거
PD0920,기타자전거,아웃도어/레저,자전거
PD0921,자전거헬맷,아웃도어/레저,자전거
PD0922,자전거의류,아웃도어/레저,자전거
PD0923,자전거안전용품,아웃도어/레저,자전거
PD0924,자전거수리부품,아웃도어/레저,자전거
PD0925,자전거기타액세서리,아웃도어/레저,자전거
PD0926,텐트,아웃도어/레저,캠핑
PD0927,그늘막/타프,아웃도어/레저,캠핑
PD0928,캠핑침구,아웃도어/레저,캠핑
PD0929,야외용돗자리,아웃도어/레저,캠핑
PD0930,캠핑테이블/의자,아웃도어/레저,캠핑
PD0931,캠핑취사,아웃도어/레저,캠핑
PD0932,오토캠핑용품세트,아웃도어/레저,캠핑
PD0933,기타캠핑용품,아웃도어/레저,캠핑
PD0934,미숫가루,양곡,선식류
PD0935,선식,양곡,선식류
PD0936,일반미,양곡,쌀
PD0937,기능성미,양곡,쌀
PD0938,즉석도정미,양곡,쌀
PD0939,일반기능미,양곡,쌀
PD0940,곡물선물세트,양곡,양곡선물세트
PD0941,보리,양곡,잡곡
PD0942,현미,양곡,잡곡
PD0943,찹쌀,양곡,잡곡
PD0944,흑미,양곡,잡곡
PD0945,콩,양곡,잡곡
PD0946,조/수수,양곡,잡곡
PD0947,혼합잡곡,양곡,잡곡
PD0948,기타잡곡류,양곡,잡곡
PD0949,여성티셔츠/탑,여성의류,여성의류상의
PD0950,여성남방셔츠,여성의류,여성의류상의
PD0951,여성블라우스,여성의류,여성의류상의
PD0952,여성베스트,여성의류,여성의류상의
PD0953,여성가디건,여성의류,여성의류상의
PD0954,여성스웨터/풀오버,여성의류,여성의류상의
PD0955,여성스웨트셔츠/후드/집업,여성의류,여성의류상의
PD0956,여성정장세트,여성의류,여성의류세트
PD0957,기타여성의류세트,여성의류,여성의류세트
