,pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm,l_pd,m_pd
0,PD0001,소파,가구,거실가구,L0001,M0008
1,PD0002,스툴/리빙의자,가구,거실가구,L0001,M0008
2,PD0003,탁자,가구,거실가구,L0001,M0008
3,PD0004,장식장/진열장,가구,거실가구,L0001,M0008
4,PD0005,기타가구,가구,기타가구,L0001,M0038
5,PD0006,책상,가구,사무용/학생용가구,L0001,M0131
6,PD0007,책상의자,가구,사무용/학생용가구,L0001,M0131
7,PD0008,책장,가구,사무용/학생용가구,L0001,M0131
8,PD0009,사무용/학생용가구세트,가구,사무용/학생용가구,L0001,M0131
9,PD0010,선반장/행거,가구,수납가구,L0001,M0153
10,PD0011,서랍장/수납장,가구,수납가구,L0001,M0153
11,PD0012,신발장,가구,수납가구,L0001,M0153
12,PD0013,시공가구,가구,시공/DIY가구,L0001,M0171
13,PD0014,DIY가구,가구,시공/DIY가구,L0001,M0171
14,PD0015,야외의자/벤치,가구,야외용가구,L0001,M0187
15,PD0016,유아동침대,가구,유아동가구,L0001,M0240
16,PD0017,유아동옷장,가구,유아동가구,L0001,M0240
17,PD0018,유아동수납장,가구,유아동가구,L0001,M0240
18,PD0019,유아동의자,가구,유아동가구,L0001,M0240
19,PD0020,유아공부상/디딤대,가구,유아동가구,L0001,M0240
20,PD0021,식탁,가구,주방가구,L0001,M0295
21,PD0022,식탁의자,가구,주방가구,L0001,M0295
22,PD0023,식탁세트,가구,주방가구,L0001,M0295
23,PD0024,주방수납장,가구,주방가구,L0001,M0295
24,PD0025,침대,가구,침실가구,L0001,M0313
25,PD0026,침실가구세트,가구,침실가구,L0001,M0313
26,PD0027,매트리스,가구,침실가구,L0001,M0313
27,PD0028,협탁,가구,침실가구,L0001,M0313
28,PD0029,화장대,가구,침실가구,L0001,M0313
29,PD0030,장롱,가구,침실가구,L0001,M0313
30,PD0031,붙박이장,가구,침실가구,L0001,M0313
31,PD0032,운동보조식품,건강식품,건강보조식품,L0002,M0011
32,PD0033,다이어트보조식품,건강식품,건강보조식품,L0002,M0011
33,PD0034,미용보조식품,건강식품,건강보조식품,L0002,M0011
34,PD0035,건강보조식품세트,건강식품,건강보조식품,L0002,M0011
35,PD0036,과일즙,건강식품,건강진액,L0002,M0012
36,PD0037,채소즙,건강식품,건강진액,L0002,M0012
37,PD0038,혼합즙,건강식품,건강진액,L0002,M0012
38,PD0039,발효원액,건강식품,건강진액,L0002,M0012
39,PD0040,로열제리,건강식품,꿀,L0002,M0048
40,PD0041,토종꿀,건강식품,꿀,L0002,M0048
41,PD0042,양봉꿀,건강식품,꿀,L0002,M0048
42,PD0043,꿀세트,건강식품,꿀,L0002,M0048
43,PD0044,종합영양제,건강식품,영양제,L0002,M0223
44,PD0045,일반비타민,건강식품,영양제,L0002,M0223
45,PD0046,발포비타민,건강식품,영양제,L0002,M0223
46,PD0047,오메가3/기타추출오일,건강식품,영양제,L0002,M0223
47,PD0048,칼슘/미네랄,건강식품,영양제,L0002,M0223
48,PD0049,엽산/철분,건강식품,영양제,L0002,M0223
49,PD0050,자연유래영양제,건강식품,영양제,L0002,M0223
50,PD0051,유산균/프로바이오틱스,건강식품,영양제,L0002,M0223
51,PD0052,글루코사민,건강식품,영양제,L0002,M0223
52,PD0053,루테인,건강식품,영양제,L0002,M0223
53,PD0054,기타영양제,건강식품,영양제,L0002,M0223
54,PD0055,영양제세트,건강식품,영양제,L0002,M0223
55,PD0056,홍삼근,건강식품,홍삼/인삼가공식품,L0002,M0348
56,PD0057,홍삼액,건강식품,홍삼/인삼가공식품,L0002,M0348
57,PD0058,홍삼정/분말/환,건강식품,홍삼/인삼가공식품,L0002,M0348
58,PD0059,홍삼절편,건강식품,홍삼/인삼가공식품,L0002,M0348
59,PD0060,홍삼세트,건강식품,홍삼/인삼가공식품,L0002,M0348
60,PD0061,인삼가공식품,건강식품,홍삼/인삼가공식품,L0002,M0348
61,PD0062,어린이홍삼,건강식품,홍삼/인삼가공식품,L0002,M0348
62,PD0063,홍삼/인삼혼합세트,건강식품,홍삼/인삼가공식품,L0002,M0348
63,PD0064,안마의자,건강용품,건강가전,L0003,M0009
64,PD0065,족욕기,건강용품,건강가전,L0003,M0009
65,PD0066,녹즙기/원액기,건강용품,건강가전,L0003,M0009
66,PD0067,향초,건강용품,건강관리용품,L0003,M0010
67,PD0068,디퓨저,건강용품,건강관리용품,L0003,M0010
68,PD0069,기타아로마용품,건강용품,건강관리용품,L0003,M0010
69,PD0070,간병/시니어생활편리용품,건강용품,건강관리용품,L0003,M0010
70,PD0071,보호대/보행보조용품,건강용품,건강관리용품,L0003,M0010
71,PD0072,물리치료/의료기용품,건강용품,건강관리용품,L0003,M0010
72,PD0073,체온계,건강용품,건강측정용품,L0003,M0013
73,PD0074,체중계/신장계,건강용품,건강측정용품,L0003,M0013
74,PD0075,혈당계/혈압계,건강용품,건강측정용품,L0003,M0013
75,PD0076,기타건강측정용품,건강용품,건강측정용품,L0003,M0013
76,PD0077,온/냉찜질용품,건강용품,안마/찜질용품,L0003,M0181
77,PD0078,손난로/핫팩,건강용품,안마/찜질용품,L0003,M0181
78,PD0079,안마용품,건강용품,안마/찜질용품,L0003,M0181
79,PD0080,안전상비의약외품,건강용품,일반의약외품,L0003,M0268
80,PD0081,콘돔,건강용품,일반의약외품,L0003,M0268
81,PD0082,건강마스크,건강용품,일반의약외품,L0003,M0268
82,PD0083,밴드류,건강용품,일반의약외품,L0003,M0268
83,PD0084,렌즈관리용품,건강용품,일반의약외품,L0003,M0268
84,PD0085,임신/배란테스트기,건강용품,일반의약외품,L0003,M0268
85,PD0086,기타,건강용품,일반의약외품,L0003,M0268
86,PD0087,안전상비의약품,건강용품,일반의약품,L0003,M0269
87,PD0088,안전상비의약품세트,건강용품,일반의약품,L0003,M0269
88,PD0089,국물용건멸치,건해산물,건어물,L0004,M0016
89,PD0090,볶음조림용건멸치,건해산물,건어물,L0004,M0016
90,PD0091,건새우,건해산물,건어물,L0004,M0016
91,PD0092,건홍합,건해산물,건어물,L0004,M0016
92,PD0093,건오징어,건해산물,건어물,L0004,M0016
93,PD0094,한치오징어,건해산물,건어물,L0004,M0016
94,PD0095,조미오징어,건해산물,건어물,L0004,M0016
95,PD0096,훈제/구이오징어,건해산물,건어물,L0004,M0016
96,PD0097,쥐치포,건해산물,건어물,L0004,M0016
97,PD0098,어포류,건해산물,건어물,L0004,M0016
98,PD0099,황태/북어류,건해산물,건어물,L0004,M0016
99,PD0100,황태채,건해산물,건어물,L0004,M0016
100,PD0101,어포채류,건해산물,건어물,L0004,M0016
101,PD0102,원물천연조미료,건해산물,건어물,L0004,M0016
102,PD0103,멸치선물세트,건해산물,건해산물선물세트,L0004,M0017
103,PD0104,김선물세트,건해산물,건해산물선물세트,L0004,M0017
104,PD0105,굴비선물세트,건해산물,건해산물선물세트,L0004,M0017
105,PD0106,반건생선선물세트,건해산물,건해산물선물세트,L0004,M0017
106,PD0107,기타건해산물선물세트,건해산물,건해산물선물세트,L0004,M0017
107,PD0108,굴비류,건해산물,반건생선,L0004,M0111
108,PD0109,과메기,건해산물,반건생선,L0004,M0111
109,PD0110,코다리,건해산물,반건생선,L0004,M0111
110,PD0111,반건오징어,건해산물,반건생선,L0004,M0111
111,PD0112,반건생선류,건해산물,반건생선,L0004,M0111
112,PD0113,마른김,건해산물,해조류,L0004,M0338
113,PD0114,조미전장김,건해산물,해조류,L0004,M0338
114,PD0115,조미도시락김,건해산물,해조류,L0004,M0338
115,PD0116,김자반/부각/튀각,건해산물,해조류,L0004,M0338
116,PD0117,건다시마,건해산물,해조류,L0004,M0338
117,PD0118,건미역,건해산물,해조류,L0004,M0338
118,PD0119,히터,계절가전,난방가전,L0005,M0051
119,PD0120,온풍기,계절가전,난방가전,L0005,M0051
120,PD0121,라디에이터,계절가전,난방가전,L0005,M0051
121,PD0122,전기요,계절가전,난방가전,L0005,M0051
122,PD0123,전기매트,계절가전,난방가전,L0005,M0051
123,PD0124,온수매트,계절가전,난방가전,L0005,M0051
124,PD0125,기타난방가전,계절가전,난방가전,L0005,M0051
125,PD0126,스탠드형에어컨,계절가전,냉방가전,L0005,M0081
126,PD0127,멀티형에어컨,계절가전,냉방가전,L0005,M0081
127,PD0128,벽걸이형에어컨,계절가전,냉방가전,L0005,M0081
128,PD0129,기타에어컨,계절가전,냉방가전,L0005,M0081
129,PD0130,선풍기,계절가전,냉방가전,L0005,M0081
130,PD0131,냉풍기,계절가전,냉방가전,L0005,M0081
131,PD0132,기타냉방가전,계절가전,냉방가전,L0005,M0081
132,PD0133,냉방가전소모품,계절가전,냉방가전,L0005,M0081
133,PD0134,수공구,공구/안전용품,공구,L0006,M0023
134,PD0135,전동공구,공구/안전용품,공구,L0006,M0023
135,PD0136,철물공구,공구/안전용품,공구,L0006,M0023
136,PD0137,페인트용품,공구/안전용품,보수용품,L0006,M0121
137,PD0138,장갑류,공구/안전용품,보수용품,L0006,M0121
138,PD0139,포장이사용품,공구/안전용품,보수용품,L0006,M0121
139,PD0140,접착제,공구/안전용품,보수용품,L0006,M0121
140,PD0141,후크류,공구/안전용품,보수용품,L0006,M0121
141,PD0142,보안용품,공구/안전용품,안전용품,L0006,M0183
142,PD0143,화재안전용품,공구/안전용품,안전용품,L0006,M0183
143,PD0144,금고,공구/안전용품,안전용품,L0006,M0183
144,PD0145,전기자재,공구/안전용품,전기용품,L0006,M0281
145,PD0146,멀티탭,공구/안전용품,전기용품,L0006,M0281
146,PD0147,건전지,공구/안전용품,전기용품,L0006,M0281
147,PD0148,충전지,공구/안전용품,전기용품,L0006,M0281
148,PD0149,곶감,과일,건과일,L0007,M0014
149,PD0150,건포도,과일,건과일,L0007,M0014
150,PD0151,건망고,과일,건과일,L0007,M0014
151,PD0152,기타건과일,과일,건과일,L0007,M0014
152,PD0153,밤,과일,견과류,L0007,M0019
153,PD0154,땅콩,과일,견과류,L0007,M0019
154,PD0155,호두,과일,견과류,L0007,M0019
155,PD0156,잣,과일,견과류,L0007,M0019
156,PD0157,마카다미아,과일,견과류,L0007,M0019
157,PD0158,피스타치오,과일,견과류,L0007,M0019
158,PD0159,아몬드,과일,견과류,L0007,M0019
159,PD0160,캐슈넛,과일,견과류,L0007,M0019
160,PD0161,혼합견과,과일,견과류,L0007,M0019
161,PD0162,기타견과류,과일,견과류,L0007,M0019
162,PD0163,사과선물세트,과일,과일선물세트,L0007,M0025
163,PD0164,배선물세트,과일,과일선물세트,L0007,M0025
164,PD0165,혼합과일선물세트,과일,과일선물세트,L0007,M0025
165,PD0166,곶감선물세트,과일,과일선물세트,L0007,M0025
166,PD0167,기타과일선물세트,과일,과일선물세트,L0007,M0025
167,PD0168,사과,과일,국산과일,L0007,M0032
168,PD0169,배,과일,국산과일,L0007,M0032
169,PD0170,감,과일,국산과일,L0007,M0032
170,PD0171,귤류,과일,국산과일,L0007,M0032
171,PD0172,유자/모과,과일,국산과일,L0007,M0032
172,PD0173,복숭아,과일,국산과일,L0007,M0032
173,PD0174,자두,과일,국산과일,L0007,M0032
174,PD0175,살구,과일,국산과일,L0007,M0032
175,PD0176,매실,과일,국산과일,L0007,M0032
176,PD0177,딸기,과일,국산과일,L0007,M0032
177,PD0178,포도,과일,국산과일,L0007,M0032
178,PD0179,무화과,과일,국산과일,L0007,M0032
179,PD0180,석류,과일,국산과일,L0007,M0032
180,PD0181,수박,과일,국산과일,L0007,M0032
181,PD0182,참외,과일,국산과일,L0007,M0032
182,PD0183,메론,과일,국산과일,L0007,M0032
183,PD0184,토마토,과일,국산과일,L0007,M0032
184,PD0185,방울토마토,과일,국산과일,L0007,M0032
185,PD0186,기타국산과일류,과일,국산과일,L0007,M0032
186,PD0187,냉동망고,과일,냉동과일,L0007,M0079
187,PD0188,냉동베리류,과일,냉동과일,L0007,M0079
188,PD0189,냉동홍시,과일,냉동과일,L0007,M0079
189,PD0190,기타냉동과일류,과일,냉동과일,L0007,M0079
190,PD0191,냉동채소,과일,냉동과일,L0007,M0079
191,PD0192,블루베리,과일,수입과일,L0007,M0161
192,PD0193,수입포도,과일,수입과일,L0007,M0161
193,PD0194,레몬,과일,수입과일,L0007,M0161
194,PD0195,망고,과일,수입과일,L0007,M0161
195,PD0196,망고스틴,과일,수입과일,L0007,M0161
196,PD0197,바나나,과일,수입과일,L0007,M0161
197,PD0198,아보카도,과일,수입과일,L0007,M0161
198,PD0199,오렌지,과일,수입과일,L0007,M0161
199,PD0200,용과,과일,수입과일,L0007,M0161
200,PD0201,자몽,과일,수입과일,L0007,M0161
201,PD0202,체리,과일,수입과일,L0007,M0161
202,PD0203,키위,과일,수입과일,L0007,M0161
203,PD0204,파인애플,과일,수입과일,L0007,M0161
204,PD0205,기타수입과일,과일,수입과일,L0007,M0161
205,PD0206,간편과일,과일,수입과일,L0007,M0161
206,PD0207,맛밤류,과자,간식/안주형과자,L0008,M0005
207,PD0208,안주용육포류,과자,간식/안주형과자,L0008,M0005
208,PD0209,기타간식/안주형과자,과자,간식/안주형과자,L0008,M0005
209,PD0210,과자세트,과자,과자세트,L0008,M0026
210,PD0211,전통과자세트,과자,과자세트,L0008,M0026
211,PD0212,사탕/캔디세트,과자,과자세트,L0008,M0026
212,PD0213,초콜릿세트,과자,과자세트,L0008,M0026
213,PD0214,일반껌,과자,껌,L0008,M0047
214,PD0215,기능성껌,과자,껌,L0008,M0047
215,PD0216,풍선껌,과자,껌,L0008,M0047
216,PD0217,크래커,과자,비스킷류,L0008,M0126
217,PD0218,쿠키,과자,비스킷류,L0008,M0126
218,PD0219,샌드,과자,비스킷류,L0008,M0126
219,PD0220,스틱과자,과자,비스킷류,L0008,M0126
220,PD0221,하드캔디,과자,사탕/캔디,L0008,M0133
221,PD0222,소프트캔디,과자,사탕/캔디,L0008,M0133
222,PD0223,젤리,과자,사탕/캔디,L0008,M0133
223,PD0224,양갱,과자,사탕/캔디,L0008,M0133
224,PD0225,캐러멜,과자,사탕/캔디,L0008,M0133
225,PD0226,토이캔디,과자,사탕/캔디,L0008,M0133
226,PD0227,기능성캔디,과자,사탕/캔디,L0008,M0133
227,PD0228,감자스낵,과자,스낵류,L0008,M0163
228,PD0229,고구마스낵,과자,스낵류,L0008,M0163
229,PD0230,옥수수스낵,과자,스낵류,L0008,M0163
230,PD0231,쌀스낵,과자,스낵류,L0008,M0163
231,PD0232,일반스낵,과자,스낵류,L0008,M0163
232,PD0233,영양바,과자,스낵류,L0008,M0163
233,PD0234,팝콘,과자,스낵류,L0008,M0163
234,PD0235,과일스낵,과자,스낵류,L0008,M0163
235,PD0236,한과,과자,전통과자류,L0008,M0284
236,PD0237,기타전통과자,과자,전통과자류,L0008,M0284
237,PD0238,판초콜릿,과자,초콜릿,L0008,M0309
238,PD0239,쉘초콜릿,과자,초콜릿,L0008,M0309
239,PD0240,바초콜릿,과자,초콜릿,L0008,M0309
240,PD0241,쿠키케이크,과자,파이류,L0008,M0329
241,PD0242,파이,과자,파이류,L0008,M0329
242,PD0243,골프채,구기/필드스포츠,골프,L0009,M0022
243,PD0244,골프채세트,구기/필드스포츠,골프,L0009,M0022
244,PD0245,골프공,구기/필드스포츠,골프,L0009,M0022
245,PD0246,골프화,구기/필드스포츠,골프,L0009,M0022
246,PD0247,골프필드용품,구기/필드스포츠,골프,L0009,M0022
247,PD0248,골프장갑,구기/필드스포츠,골프,L0009,M0022
248,PD0249,골프가방,구기/필드스포츠,골프,L0009,M0022
249,PD0250,골프패션잡화,구기/필드스포츠,골프,L0009,M0022
250,PD0251,골프연습장비,구기/필드스포츠,골프,L0009,M0022
251,PD0252,기타구기/필드스포츠용품,구기/필드스포츠,기타구기/필드스포츠,L0009,M0040
252,PD0253,농구공,구기/필드스포츠,농구,L0009,M0087
253,PD0254,농구복,구기/필드스포츠,농구,L0009,M0087
254,PD0255,농구화,구기/필드스포츠,농구,L0009,M0087
255,PD0256,기타농구용품,구기/필드스포츠,농구,L0009,M0087
256,PD0257,배구공,구기/필드스포츠,배구,L0009,M0113
257,PD0258,배드민턴라켓,구기/필드스포츠,배드민턴,L0009,M0114
258,PD0259,배드민턴셔틀콕,구기/필드스포츠,배드민턴,L0009,M0114
259,PD0260,배드민턴복,구기/필드스포츠,배드민턴,L0009,M0114
260,PD0261,배드민턴화,구기/필드스포츠,배드민턴,L0009,M0114
261,PD0262,기타배드민턴용품,구기/필드스포츠,배드민턴,L0009,M0114
262,PD0263,야구글러브,구기/필드스포츠,야구,L0009,M0186
263,PD0264,야구공,구기/필드스포츠,야구,L0009,M0186
264,PD0265,야구배트,구기/필드스포츠,야구,L0009,M0186
265,PD0266,기타야구용품,구기/필드스포츠,야구,L0009,M0186
266,PD0267,축구화,구기/필드스포츠,축구,L0009,M0310
267,PD0268,축구공,구기/필드스포츠,축구,L0009,M0310
268,PD0269,축구용보호대,구기/필드스포츠,축구,L0009,M0310
269,PD0270,축구양말,구기/필드스포츠,축구,L0009,M0310
270,PD0271,기타축구용품,구기/필드스포츠,축구,L0009,M0310
271,PD0272,축구복,구기/필드스포츠,축구,L0009,M0310
272,PD0273,탁구대,구기/필드스포츠,탁구,L0009,M0323
273,PD0274,탁구라켓,구기/필드스포츠,탁구,L0009,M0323
274,PD0275,탁구공,구기/필드스포츠,탁구,L0009,M0323
275,PD0276,기타탁구용품,구기/필드스포츠,탁구,L0009,M0323
276,PD0277,테니스라켓,구기/필드스포츠,테니스,L0009,M0325
277,PD0278,테니스공,구기/필드스포츠,테니스,L0009,M0325
278,PD0279,테니스화,구기/필드스포츠,테니스,L0009,M0325
279,PD0280,기타테니스용품,구기/필드스포츠,테니스,L0009,M0325
280,PD0281,기타보험,금융/보험서비스,보험,L0010,M0122
281,PD0282,봉투보증금,기타(비상품),기타,L0011,M0037
282,PD0283,기타,기타(비상품),기타,L0011,M0037
283,PD0284,컴퓨터/노트북기프트,기타(비상품),기프트,L0011,M0046
284,PD0285,렌탈수수료,기타(비상품),렌탈수수료,L0011,M0098
285,PD0286,유지보수품,기타(비상품),소모품,L0011,M0148
286,PD0287,공병/공박스,기타(비상품),용기보증금,L0011,M0231
287,PD0288,임대매출,기타(비상품),임대매출,L0011,M0270
288,PD0289,특판,기타상품,특판,L0012,M0328
289,PD0290,남성티셔츠,남성의류,남성의류상의,L0013,M0058
290,PD0291,남성정장셔츠,남성의류,남성의류상의,L0013,M0058
291,PD0292,남성남방셔츠,남성의류,남성의류상의,L0013,M0058
292,PD0293,남성베스트,남성의류,남성의류상의,L0013,M0058
293,PD0294,남성가디건,남성의류,남성의류상의,L0013,M0058
294,PD0295,남성스웨터/풀오버,남성의류,남성의류상의,L0013,M0058
295,PD0296,남성스웨트셔츠/후드/집업,남성의류,남성의류상의,L0013,M0058
296,PD0297,남성정장세트,남성의류,남성의류세트,L0013,M0059
297,PD0298,기타남성의류세트,남성의류,남성의류세트,L0013,M0059
298,PD0299,남성코트,남성의류,남성의류아우터,L0013,M0060
299,PD0300,남성정장재킷,남성의류,남성의류아우터,L0013,M0060
300,PD0301,남성캐주얼재킷,남성의류,남성의류아우터,L0013,M0060
301,PD0302,남성패딩,남성의류,남성의류아우터,L0013,M0060
302,PD0303,남성점퍼,남성의류,남성의류아우터,L0013,M0060
303,PD0304,남성사파리,남성의류,남성의류아우터,L0013,M0060
304,PD0305,남성트렌치코트,남성의류,남성의류아우터,L0013,M0060
305,PD0306,기타남성의류아우터,남성의류,남성의류아우터,L0013,M0060
306,PD0307,남성점프수트/오버롤,남성의류,남성의류전신,L0013,M0061
307,PD0308,남성정장바지,남성의류,남성의류하의,L0013,M0062
308,PD0309,남성캐주얼바지,남성의류,남성의류하의,L0013,M0062
309,PD0310,남성청바지,남성의류,남성의류하의,L0013,M0062
310,PD0311,남성패션트레이닝복,남성의류,남성특수목적의류,L0013,M0066
311,PD0312,남성학생복,남성의류,남성특수목적의류,L0013,M0066
312,PD0313,남성코스튬,남성의류,남성특수목적의류,L0013,M0066
313,PD0314,기타남성특수목적의류,남성의류,남성특수목적의류,L0013,M0066
314,PD0315,남성피혁의류,남성의류,남성특수소재의류,L0013,M0067
315,PD0316,냉동밥,냉동식품,냉동간편식,L0014,M0078
316,PD0317,냉동면,냉동식품,냉동간편식,L0014,M0078
317,PD0318,냉동만두,냉동식품,냉동간편식,L0014,M0078
318,PD0319,냉동피자,냉동식품,냉동간편식,L0014,M0078
319,PD0320,냉동핫도그,냉동식품,냉동간편식,L0014,M0078
320,PD0321,냉동튀김,냉동식품,냉동간편식,L0014,M0078
321,PD0322,냉동부침,냉동식품,냉동간편식,L0014,M0078
322,PD0323,냉동국탕류,냉동식품,냉동간편식,L0014,M0078
323,PD0324,냉동디저트,냉동식품,냉동간편식,L0014,M0078
324,PD0325,냉동떡볶이,냉동식품,냉동간편식,L0014,M0078
325,PD0326,기타냉동간편식,냉동식품,냉동간편식,L0014,M0078
326,PD0327,냉동간편식세트,냉동식품,냉동간편식,L0014,M0078
327,PD0328,바아이스크림,냉동식품,아이스크림,L0014,M0178
328,PD0329,튜브아이스크림,냉동식품,아이스크림,L0014,M0178
329,PD0330,콘아이스크림,냉동식품,아이스크림,L0014,M0178
330,PD0331,모나카,냉동식품,아이스크림,L0014,M0178
331,PD0332,컵아이스크림,냉동식품,아이스크림,L0014,M0178
332,PD0333,홈아이스크림,냉동식품,아이스크림,L0014,M0178
333,PD0334,아이스크림케이크,냉동식품,아이스크림,L0014,M0178
334,PD0335,얼음,냉동식품,아이스크림,L0014,M0178
335,PD0336,일반형냉장고,냉장/세탁가전,냉장/냉동고,L0015,M0082
336,PD0337,양문형냉장고,냉장/세탁가전,냉장/냉동고,L0015,M0082
337,PD0338,뚜껑형김치냉장고,냉장/세탁가전,냉장/냉동고,L0015,M0082
338,PD0339,스탠드형김치냉장고,냉장/세탁가전,냉장/냉동고,L0015,M0082
339,PD0340,업소용냉장고,냉장/세탁가전,냉장/냉동고,L0015,M0082
340,PD0341,기타냉장고,냉장/세탁가전,냉장/냉동고,L0015,M0082
